No.,운영기관,협회 회원사 여부,일반형 팁스,스케일업 팁스(투자),스케일업 팁스(R&D),프리팁스,립스
1,카이트창업가재단,O,O,-,-,-,-
2,본엔젤스벤처파트너스,O,O,-,-,-,-
3,퓨처플레이,O,O,-,O,-,-
4,블루포인트파트너스,O,O,-,-,-,-
5,인포뱅크,O,O,-,O,O,-
6,스프링캠프,-,O,-,-,-,-
7,충북창조경제혁신센터,O,O,-,-,-,-
8,포항공과대학교기술지주,O,O,-,-,-,-
9,킹슬리벤처스,O,O,-,-,-,-
10,고려대학교기술지주,O,O,-,O,-,-
11,매쉬업벤처스,O,O,-,-,-,-
12,메디톡스벤처투자,-,O,-,-,-,-
13,서울대학교기술지주,O,O,-,-,-,-
14,인라이트벤처스,-,O,O,-,-,-
15,김기사랩,-,O,-,-,-,-
16,미래과학기술지주,O,O,-,O,-,-
17,빅베이슨캐피탈,O,O,-,-,-,-
18,씨엔티테크,O,O,-,-,-,-
19,플래티넘기술투자,-,O,O,-,-,-
20,대덕벤처파트너스,O,O,O,-,-,-
21,더존비즈온,O,O,-,-,-,-
22,데일리파트너스,O,O,O,-,-,-
23,벤처스퀘어,O,O,-,-,-,-
24,부산지역대학연합기술지주,O,O,-,-,-,-
25,슈미트,O,O,-,-,-,-
26,스파크랩,O,O,-,O,-,-
27,캡스톤파트너스,O,O,O,-,-,-
28,프라이머,O,O,-,-,O,-
29,플랜에이치벤처스,O,O,-,-,-,-
30,한국과학기술지주,O,O,-,O,-,-
31,대경지역대학공동기술지주,O,O,-,O,-,-
32,더벤처스,O,O,-,-,-,-
33,스마일게이트인베스트먼트,-,O,-,-,-,-
34,아주아이비투자,-,O,O,-,-,-
35,연세대학교기술지주,O,O,-,O,-,-
36,이노폴리스파트너스,-,O,O,-,-,-
37,포스코기술투자,O,O,-,-,-,-
38,제이비벤처스,O,O,-,-,-,-
39,끌림벤처스,-,O,-,-,-,-
40,뉴패러다임인베스트먼트,O,O,-,-,-,-
41,더인벤션랩,O,O,-,-,-,-
42,소풍벤처스,O,O,-,-,-,-
43,씨앤벤처파트너스,O,O,-,-,-,-
44,액트너랩,O,O,-,-,-,-
45,에트리홀딩스,O,O,-,O,-,-
46,엔슬파트너스,O,O,-,-,O,-
47,울산창조경제혁신센터,-,O,-,-,-,-
