회사명,2024 투자 금액(억),2024 투자 기업 수,2023 투자 금액(억),2023 투자 기업 수,2022 투자 금액(억),2022 투자 기업 수,2021 투자 금액(억),2021 투자 기업 수,2020 투자 금액(억),2020 투자 기업 수,전체 투자 금액(억),전체 투자 기업 수
스마일게이트인베스트먼트,1145.7,39,771.6,59,785.8,65,932.1,36,40,1,3675.2,135
데일리파트너스,328,12,325.3,20,388.1,21,272,14,81.8,6,1395.2,52
슈미트,221,21,364.5,28,426.6,40,191.5,27,93.5,21,1297.1,97
제피러스랩,0,0,40.8,6,1041.7,6,115.4,9,16.5,7,1214.4,22
퓨처플레이,269.3,28,205.9,36,383,51,220.8,53,55.4,35,1134.3,152
블루포인트파트너스,79.6,31,244.9,73,245.6,58,184.4,52,74.9,51,829.5,207
유스업파트너스,48.1,6,186.7,12,193.8,12,228.9,11,112.7,6,770.2,35
서울대학교기술지주,84.8,27,110.4,33,174.8,53,149,44,131.2,31,650.3,135
인포뱅크,92.9,32,196,71,186.6,58,90.9,28,46.8,29,613.2,160
BSK인베스트먼트,103,11,125.1,9,145,7,70,2,70,0,513.1,22
스프링캠프,129.1,27,36.1,15,62,7,238.8,59,17.7,6,483.8,107
씨엔티테크,55.9,35,120,81,131.1,91,89.8,75,48.3,56,445,247
포항공과대학교기술지주,88,21,80.1,20,94.6,31,93.6,36,73.4,26,429.6,103
쿼드벤처스,98.9,9,107.5,8,95.2,7,91.8,5,6,2,399.4,24
끌림벤처스,11.4,2,23.1,6,108.1,10,162.1,18,85.1,13,389.8,39
대웅제약,0,0,0,0,2,1,26.3,4,316,3,344.2,7
메인스트리트벤처스,121.3,6,105.2,9,81.3,10,14.4,3,0,0,322.1,18
미래과학기술지주,26,6,104.3,30,75.3,23,63.5,17,52,15,321.2,68
미래과학기술지주,26,6,104.3,30,75.3,23,63.5,17,52,15,321.2,68
선보엔젤파트너스,41.5,13,55.5,14,23.5,11,139.7,19,48.4,21,308.5,67
스케일업파트너스,104.6,15,136.6,22,52,6,12,5,2.2,2,307.4,44
스파크랩,34.8,11,80.8,29,72.3,34,107.5,28,9.7,1,305.1,69
노틸러스인베스트먼트,146.2,10,108.8,13,17.2,7,0,0,0,0,272.2,23
한국투자액셀러레이터,86.1,28,102.2,37,81,42,0,0,0,0,269.3,65
엠와이소셜컴퍼니,86.4,32,64.2,38,53.1,28,36,28,22.6,22,262.4,120
에이아이피벤처파트너스,97.3,8,139.8,16,21,1,0,0,0,0,258,24
프라이머시즌5,28,27,42.3,41,43.6,35,80.5,33,53.2,33,247.6,134
프로디지인베스트먼트,162.1,5,63,8,21.5,6,0,0,0,0,246.6,13
소풍벤처스,64,20,32.9,30,85,45,41.6,34,13.3,29,236.7,113
매쉬업벤처스,56.9,20,46.7,17,56,21,56.2,28,18,14,233.7,79
뉴패러다임인베스트먼트,32.7,10,43,12,78.7,16,47,17,25.8,15,227.2,54
에트리홀딩스,28.2,6,55,13,62.6,20,44.2,18,35.6,18,225.6,55
아이피에스벤처스,13.9,4,57,15,79.5,23,31.2,17,31.7,18,213.4,54
킹슬리벤처스,40.9,14,55.5,26,62.5,27,36.3,16,14.8,9,210.1,65
연세대학교기술지주,39,10,76.5,15,40,15,41.5,18,12.6,6,209.6,49
더인벤션랩,73.2,31,60.7,32,41.3,29,14.4,15,13,15,202.5,93
